Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
FOFO Token USD,FOFO-USD,2023-09-21,8.201892498505003e-09,8.202166057458271e-09,8.201892498505003e-09,8.202166057458271e-09,8.202166057458271e-09,102
FOFO Token USD,FOFO-USD,2023-10-13,3.2047053899475486e-09,3.217882182937614e-09,3.149941640856468e-09,3.1885196705161434e-09,3.1885196705161434e-09,13
FOFO Token USD,FOFO-USD,2023-10-23,3.542959703395354e-09,3.754085931007012e-09,3.542959703395354e-09,3.754085931007012e-09,3.754085931007012e-09,0
