Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Macro Protocol USD,MTP26115-USD,2023-09-25,7.820004839231842e-07,9.172579211735864e-07,7.68023312502919e-07,9.106573770623072e-07,9.106573770623072e-07,55
Macro Protocol USD,MTP26115-USD,2023-10-13,1.1644943924693507e-06,1.1708241345331771e-06,9.13760345611081e-07,9.234837534677354e-07,9.234837534677354e-07,60
Macro Protocol USD,MTP26115-USD,2023-10-23,1.491284706389706e-06,1.528081497781386e-06,1.4870107634123997e-06,1.5249038369802292e-06,1.5249038369802292e-06,8
