Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SAUDI Milady USD,SAUDILADYS-USD,2023-09-21,5.585711147088057e-12,5.585711147088057e-12,4.461583446441209e-12,4.461583446441209e-12,4.461583446441209e-12,96
SAUDI Milady USD,SAUDILADYS-USD,2023-10-13,1.3025485638001877e-12,1.312533090026824e-12,1.3024093522412405e-12,1.3089559817991425e-12,1.3089559817991425e-12,18
SAUDI Milady USD,SAUDILADYS-USD,2023-10-23,1.144365852079332e-12,1.1693422922662289e-12,1.1263107417211482e-12,1.1263107417211482e-12,1.1263107417211482e-12,4
