Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
FE TECH USD,FETS-USD,2023-09-21,2.356636650802102e-05,2.356636650802102e-05,2.356636650802102e-05,2.356636650802102e-05,2.356636650802102e-05,11
FE TECH USD,FETS-USD,2023-10-13,1.9803690520348027e-05,1.9803690520348027e-05,1.9803690520348027e-05,1.9803690520348027e-05,1.9803690520348027e-05,68
