Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Mr. Narco USD,NARCO-USD,2023-09-21,4.457603036689406e-11,4.457603036689406e-11,2.800753726162064e-11,2.9004243451424827e-11,2.9004243451424827e-11,128370
Mr. Narco USD,NARCO-USD,2023-10-18,3.301326573224017e-11,3.5011136351181804e-11,3.3006080507602675e-11,3.5011136351181804e-11,3.5011136351181804e-11,120068
Mr. Narco USD,NARCO-USD,2023-10-23,4.272749862255232e-11,4.3566091706415116e-11,2.9005206222953994e-11,2.9025564937668055e-11,2.9025564937668055e-11,152819
