Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Stablecoin USD,STABLE-USD,2023-09-21,5.28034615854267e-06,5.288741249387385e-06,5.278247499518329e-06,5.288741249387385e-06,5.288741249387385e-06,1986
Stablecoin USD,STABLE-USD,2023-10-18,5.9787525970023125e-06,6.033122645021649e-06,5.9787525970023125e-06,6.0263519117143005e-06,6.0263519117143005e-06,1362
Stablecoin USD,STABLE-USD,2023-10-23,5.635921752400464e-06,6.104713065724354e-06,5.635921752400464e-06,6.082994332246017e-06,6.082994332246017e-06,1916
