Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SaverToken USD,SVR25605-USD,2023-09-25,4.238393103150884e-06,4.238393103150884e-06,4.2342680899309926e-06,4.2342680899309926e-06,4.2342680899309926e-06,489
SaverToken USD,SVR25605-USD,2023-10-13,6.877411578898318e-06,7.109990292519797e-06,6.854070306872018e-06,7.104093583620852e-06,7.104093583620852e-06,175
SaverToken USD,SVR25605-USD,2023-10-23,7.814248419890646e-06,8.132753464451525e-06,7.729572644166183e-06,8.132753464451525e-06,8.132753464451525e-06,77
