Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PEPE 3.0 USD,PEPE3027756-USD,2023-09-20,9.813647155109893e-14,9.940357185381916e-14,8.976321883057486e-14,9.85661205432642e-14,9.85661205432642e-14,763
PEPE 3.0 USD,PEPE3027756-USD,2023-09-21,9.858001188359917e-14,1.0199509964912978e-13,9.615368261805745e-14,1.0158777844545417e-13,1.0158777844545417e-13,684
PEPE 3.0 USD,PEPE3027756-USD,2023-09-24,9.622721863040628e-14,9.634440733272481e-14,9.26797972134602e-14,9.316184027561085e-14,9.316184027561085e-14,551
PEPE 3.0 USD,PEPE3027756-USD,2023-10-01,9.205758036293436e-14,9.454291055545005e-14,9.120236846554137e-14,9.454291055545005e-14,9.454291055545005e-14,55
PEPE 3.0 USD,PEPE3027756-USD,2023-10-13,7.979149974210106e-14,8.181344192609646e-14,7.867479183323175e-14,8.15005479553807e-14,8.15005479553807e-14,153
PEPE 3.0 USD,PEPE3027756-USD,2023-10-18,8.173588758944583e-14,1.2417684610611934e-13,8.173588758944583e-14,9.328035712559068e-14,9.328035712559068e-14,4991
