Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Fuck Gary Gensler USD,FKGARY-USD,2023-09-22,6.469566549149873e-11,6.469566549149873e-11,6.469566549149873e-11,6.469566549149873e-11,6.469566549149873e-11,220
Fuck Gary Gensler USD,FKGARY-USD,2023-10-13,6.030573956872232e-11,6.030573956872232e-11,6.02985994468952e-11,6.02985994468952e-11,6.02985994468952e-11,27
Fuck Gary Gensler USD,FKGARY-USD,2023-10-23,6.301138083530944e-11,6.653644302190287e-11,6.301138083530944e-11,6.653644302190287e-11,6.653644302190287e-11,84
